case,version,scope,reason,count,denominator,pct
user0907,guarded_fusion_gap15,proposal,accepted_consensus,19,42,45.23809523809524
user0907,guarded_fusion_gap15,proposal,insufficient_rois,17,42,40.476190476190474
user0907,guarded_fusion_gap15,proposal,ambiguous_consensus,6,42,14.285714285714286
user0907,guarded_fusion_gap15,guard_branch_choice,no_qualified_branch,23,42,54.76190476190476
user0907,guarded_fusion_gap15,guard_branch_choice,tracking_quality_fallback,10,42,23.80952380952381
user0907,guarded_fusion_gap15,guard_branch_choice,baseline_evidence_retained,6,42,14.285714285714286
user0907,guarded_fusion_gap15,guard_branch_choice,baseline_unavailable,1,42,2.380952380952381
user0907,guarded_fusion_gap15,guard_branch_choice,stronger_qualified_evidence,1,42,2.380952380952381
user0907,guarded_fusion_gap15,guard_branch_choice,frequency_disagreement_fallback,1,42,2.380952380952381
ubfc,bounded_tracking_gap10,final_HR,candidate_only,40,44,90.9090909090909
ubfc,bounded_tracking_gap10,final_HR,gap_or_filter_edge,4,44,9.090909090909092
ubfc,bounded_tracking_gap10,proposal,accepted_consensus,40,44,90.9090909090909
ubfc,bounded_tracking_gap10,proposal,insufficient_rois,4,44,9.090909090909092
ubfc,bounded_tracking_gap15,final_HR,candidate_only,40,44,90.9090909090909
ubfc,bounded_tracking_gap15,final_HR,gap_or_filter_edge,4,44,9.090909090909092
ubfc,bounded_tracking_gap15,proposal,accepted_consensus,40,44,90.9090909090909
ubfc,bounded_tracking_gap15,proposal,insufficient_rois,4,44,9.090909090909092
ubfc,guarded_fusion_gap10,final_HR,candidate_only,40,44,90.9090909090909
ubfc,guarded_fusion_gap10,final_HR,gap_or_filter_edge,4,44,9.090909090909092
ubfc,guarded_fusion_gap10,proposal,accepted_consensus,40,44,90.9090909090909
ubfc,guarded_fusion_gap10,proposal,insufficient_rois,4,44,9.090909090909092
ubfc,guarded_fusion_gap10,guard_branch_choice,baseline_evidence_retained,40,44,90.9090909090909
ubfc,guarded_fusion_gap10,guard_branch_choice,no_qualified_branch,4,44,9.090909090909092
ubfc,guarded_fusion_gap15,final_HR,candidate_only,40,44,90.9090909090909
ubfc,guarded_fusion_gap15,final_HR,gap_or_filter_edge,4,44,9.090909090909092
ubfc,guarded_fusion_gap15,proposal,accepted_consensus,40,44,90.9090909090909
ubfc,guarded_fusion_gap15,proposal,insufficient_rois,4,44,9.090909090909092
ubfc,guarded_fusion_gap15,guard_branch_choice,baseline_evidence_retained,40,44,90.9090909090909
ubfc,guarded_fusion_gap15,guard_branch_choice,no_qualified_branch,4,44,9.090909090909092
kaggle_full,bounded_tracking_gap10,final_HR,candidate_only,415,419,99.0453460620525
kaggle_full,bounded_tracking_gap10,final_HR,gap_or_filter_edge,4,419,0.954653937947494
kaggle_full,bounded_tracking_gap10,proposal,accepted_consensus,355,419,84.72553699284009
kaggle_full,bounded_tracking_gap10,proposal,ambiguous_consensus,51,419,12.171837708830548
kaggle_full,bounded_tracking_gap10,proposal,tracking_jump,10,419,2.386634844868735
kaggle_full,bounded_tracking_gap10,proposal,insufficient_rois,3,419,0.7159904534606205
kaggle_full,bounded_tracking_gap15,final_HR,candidate_only,415,419,99.0453460620525
kaggle_full,bounded_tracking_gap15,final_HR,gap_or_filter_edge,4,419,0.954653937947494
kaggle_full,bounded_tracking_gap15,proposal,accepted_consensus,355,419,84.72553699284009
kaggle_full,bounded_tracking_gap15,proposal,ambiguous_consensus,51,419,12.171837708830548
kaggle_full,bounded_tracking_gap15,proposal,tracking_jump,10,419,2.386634844868735
kaggle_full,bounded_tracking_gap15,proposal,insufficient_rois,3,419,0.7159904534606205
kaggle_full,guarded_fusion_gap10,final_HR,candidate_only,416,419,99.28400954653938
kaggle_full,guarded_fusion_gap10,final_HR,gap_or_filter_edge,3,419,0.7159904534606205
kaggle_full,guarded_fusion_gap10,proposal,accepted_consensus,402,419,95.94272076372314
kaggle_full,guarded_fusion_gap10,proposal,ambiguous_consensus,10,419,2.386634844868735
kaggle_full,guarded_fusion_gap10,proposal,tracking_jump,4,419,0.954653937947494
kaggle_full,guarded_fusion_gap10,proposal,insufficient_rois,3,419,0.7159904534606205
kaggle_full,guarded_fusion_gap10,guard_branch_choice,baseline_evidence_retained,239,419,57.04057279236277
kaggle_full,guarded_fusion_gap10,guard_branch_choice,stronger_qualified_evidence,77,419,18.37708830548926
kaggle_full,guarded_fusion_gap10,guard_branch_choice,tracking_quality_fallback,47,419,11.217183770883056
kaggle_full,guarded_fusion_gap10,guard_branch_choice,baseline_unavailable,29,419,6.921241050119332
kaggle_full,guarded_fusion_gap10,guard_branch_choice,no_qualified_branch,18,419,4.2959427207637235
kaggle_full,guarded_fusion_gap10,guard_branch_choice,frequency_disagreement_fallback,9,419,2.1479713603818618
kaggle_full,guarded_fusion_gap15,final_HR,candidate_only,416,419,99.28400954653938
kaggle_full,guarded_fusion_gap15,final_HR,gap_or_filter_edge,3,419,0.7159904534606205
kaggle_full,guarded_fusion_gap15,proposal,accepted_consensus,402,419,95.94272076372314
kaggle_full,guarded_fusion_gap15,proposal,ambiguous_consensus,10,419,2.386634844868735
kaggle_full,guarded_fusion_gap15,proposal,tracking_jump,4,419,0.954653937947494
kaggle_full,guarded_fusion_gap15,proposal,insufficient_rois,3,419,0.7159904534606205
kaggle_full,guarded_fusion_gap15,guard_branch_choice,baseline_evidence_retained,239,419,57.04057279236277
kaggle_full,guarded_fusion_gap15,guard_branch_choice,stronger_qualified_evidence,77,419,18.37708830548926
kaggle_full,guarded_fusion_gap15,guard_branch_choice,tracking_quality_fallback,47,419,11.217183770883056
kaggle_full,guarded_fusion_gap15,guard_branch_choice,baseline_unavailable,29,419,6.921241050119332
kaggle_full,guarded_fusion_gap15,guard_branch_choice,no_qualified_branch,18,419,4.2959427207637235
kaggle_full,guarded_fusion_gap15,guard_branch_choice,frequency_disagreement_fallback,9,419,2.1479713603818618
synthetic72,bounded_tracking_gap10,final_HR,candidate_only,7,11,63.63636363636363
synthetic72,bounded_tracking_gap10,final_HR,gap_or_filter_edge,4,11,36.36363636363637
synthetic72,bounded_tracking_gap10,proposal,accepted_consensus,7,11,63.63636363636363
synthetic72,bounded_tracking_gap10,proposal,insufficient_rois,4,11,36.36363636363637
synthetic72,bounded_tracking_gap15,final_HR,candidate_only,7,11,63.63636363636363
synthetic72,bounded_tracking_gap15,final_HR,gap_or_filter_edge,4,11,36.36363636363637
synthetic72,bounded_tracking_gap15,proposal,accepted_consensus,7,11,63.63636363636363
synthetic72,bounded_tracking_gap15,proposal,insufficient_rois,4,11,36.36363636363637
synthetic72,guarded_fusion_gap10,final_HR,candidate_only,7,11,63.63636363636363
synthetic72,guarded_fusion_gap10,final_HR,gap_or_filter_edge,4,11,36.36363636363637
synthetic72,guarded_fusion_gap10,proposal,accepted_consensus,7,11,63.63636363636363
synthetic72,guarded_fusion_gap10,proposal,insufficient_rois,4,11,36.36363636363637
synthetic72,guarded_fusion_gap10,guard_branch_choice,baseline_evidence_retained,7,11,63.63636363636363
synthetic72,guarded_fusion_gap10,guard_branch_choice,no_qualified_branch,4,11,36.36363636363637
synthetic72,guarded_fusion_gap15,final_HR,candidate_only,7,11,63.63636363636363
synthetic72,guarded_fusion_gap15,final_HR,gap_or_filter_edge,4,11,36.36363636363637
synthetic72,guarded_fusion_gap15,proposal,accepted_consensus,7,11,63.63636363636363
synthetic72,guarded_fusion_gap15,proposal,insufficient_rois,4,11,36.36363636363637
synthetic72,guarded_fusion_gap15,guard_branch_choice,baseline_evidence_retained,7,11,63.63636363636363
synthetic72,guarded_fusion_gap15,guard_branch_choice,no_qualified_branch,4,11,36.36363636363637
data1,bounded_tracking_gap10,final_HR,candidate_only,37,42,88.0952380952381
data1,bounded_tracking_gap10,final_HR,gap_or_filter_edge,5,42,11.904761904761905
data1,bounded_tracking_gap10,proposal,accepted_consensus,25,42,59.523809523809526
data1,bounded_tracking_gap10,proposal,ambiguous_consensus,12,42,28.571428571428573
data1,bounded_tracking_gap10,proposal,insufficient_rois,4,42,9.523809523809524
data1,bounded_tracking_gap10,proposal,tracking_jump,1,42,2.380952380952381
data1,bounded_tracking_gap15,final_HR,candidate_only,37,42,88.0952380952381
data1,bounded_tracking_gap15,final_HR,gap_or_filter_edge,5,42,11.904761904761905
data1,bounded_tracking_gap15,proposal,accepted_consensus,25,42,59.523809523809526
data1,bounded_tracking_gap15,proposal,ambiguous_consensus,12,42,28.571428571428573
data1,bounded_tracking_gap15,proposal,insufficient_rois,4,42,9.523809523809524
data1,bounded_tracking_gap15,proposal,tracking_jump,1,42,2.380952380952381
data1,guarded_fusion_gap10,final_HR,candidate_only,37,42,88.0952380952381
data1,guarded_fusion_gap10,final_HR,gap_or_filter_edge,5,42,11.904761904761905
data1,guarded_fusion_gap10,proposal,accepted_consensus,35,42,83.33333333333333
data1,guarded_fusion_gap10,proposal,insufficient_rois,4,42,9.523809523809524
data1,guarded_fusion_gap10,proposal,ambiguous_consensus,2,42,4.761904761904762
data1,guarded_fusion_gap10,proposal,tracking_jump,1,42,2.380952380952381
data1,guarded_fusion_gap10,guard_branch_choice,frequency_disagreement_fallback,17,42,40.476190476190474
data1,guarded_fusion_gap10,guard_branch_choice,tracking_quality_fallback,13,42,30.952380952380953
data1,guarded_fusion_gap10,guard_branch_choice,no_qualified_branch,7,42,16.666666666666668
data1,guarded_fusion_gap10,guard_branch_choice,stronger_qualified_evidence,3,42,7.142857142857143
data1,guarded_fusion_gap10,guard_branch_choice,baseline_unavailable,1,42,2.380952380952381
data1,guarded_fusion_gap10,guard_branch_choice,baseline_evidence_retained,1,42,2.380952380952381
data1,guarded_fusion_gap15,final_HR,candidate_only,37,42,88.0952380952381
data1,guarded_fusion_gap15,final_HR,gap_or_filter_edge,5,42,11.904761904761905
data1,guarded_fusion_gap15,proposal,accepted_consensus,35,42,83.33333333333333
data1,guarded_fusion_gap15,proposal,insufficient_rois,4,42,9.523809523809524
data1,guarded_fusion_gap15,proposal,ambiguous_consensus,2,42,4.761904761904762
data1,guarded_fusion_gap15,proposal,tracking_jump,1,42,2.380952380952381
data1,guarded_fusion_gap15,guard_branch_choice,frequency_disagreement_fallback,17,42,40.476190476190474
data1,guarded_fusion_gap15,guard_branch_choice,tracking_quality_fallback,13,42,30.952380952380953
data1,guarded_fusion_gap15,guard_branch_choice,no_qualified_branch,7,42,16.666666666666668
data1,guarded_fusion_gap15,guard_branch_choice,stronger_qualified_evidence,3,42,7.142857142857143
data1,guarded_fusion_gap15,guard_branch_choice,baseline_unavailable,1,42,2.380952380952381
data1,guarded_fusion_gap15,guard_branch_choice,baseline_evidence_retained,1,42,2.380952380952381
